invoice_id,vendor_id,vendor_name,vendor_category,region,approver,invoice_date,due_date,payment_terms,invoice_amount,paid_amount,outstanding_balance,payment_date,payment_status,payment_method,days_to_pay,days_early_late,is_on_time,has_discount_terms,discount_rate,discount_captured,discount_amount
AP-0001,VND-021,PrimePack Logistics,Logistics,North,Sofia Reyes,2025-08-17,2025-09-16,30,3651.22,3651.22,0.0,2025-09-06,Paid,Check,20,10,Yes,Yes,0.01,No,0.0
AP-0002,VND-002,TechCore Solutions,IT,North,Sofia Reyes,2025-01-28,2025-02-27,30,47093.38,47093.38,0.0,2025-02-24,Paid,Wire,27,3,Yes,No,0.0,No,0.0
AP-0003,VND-014,NetConnect Systems,IT,South,Pedro Alvarez,2025-06-13,2025-06-28,15,57360.45,57360.45,0.0,2025-07-04,Paid,Check,21,-6,No,Yes,0.02,No,0.0
AP-0004,VND-003,FastShip Logistics,Logistics,West,Sofia Reyes,2025-09-28,2025-11-27,60,16335.44,16335.44,0.0,2025-11-26,Paid,Check,59,1,Yes,No,0.0,No,0.0
AP-0005,VND-013,SafetyFirst Supplies,Materials,North,Ana Torres,2025-07-16,2025-09-14,60,35819.45,35819.45,0.0,2025-09-14,Paid,Check,60,0,Yes,Yes,0.01,No,0.0
AP-0006,VND-008,GreenEnergy Corp.,Utilities,North,Pedro Alvarez,2026-01-09,2026-04-09,90,2858.48,2858.48,0.0,2026-04-12,Paid,Check,93,-3,No,Yes,0.005,No,0.0
AP-0007,VND-022,Apex Consulting,Services,North,Ana Torres,2025-06-17,2025-07-17,30,20103.63,0.0,20103.63,,Overdue,Wire,,-318,No,Yes,0.01,No,0.0
AP-0008,VND-023,CoolTech Systems,IT,Central,Marco Diaz,2025-08-23,2025-09-07,15,66635.19,66635.19,0.0,2025-09-23,Paid,Check,31,-16,No,No,0.0,No,0.0
AP-0009,VND-019,SkyNet IT Solutions,IT,East,Marco Diaz,2026-04-15,2026-06-14,60,15715.37,15715.37,0.0,2026-05-31,Paid,Credit Card,46,14,Yes,Yes,0.01,No,0.0
AP-0010,VND-024,EliteFacilities Corp.,Facilities,Central,Pedro Alvarez,2025-08-13,2025-10-12,60,34911.75,34911.75,0.0,2025-10-12,Paid,Credit Card,60,0,Yes,Yes,0.01,No,0.0
AP-0011,VND-005,CloudSys Inc.,IT,South,Pedro Alvarez,2026-01-26,2026-03-27,60,49691.63,49691.63,0.0,2026-03-12,Paid,ACH,45,15,Yes,Yes,0.01,No,0.0
AP-0012,VND-018,BuildFast Materials,Materials,North,Sofia Reyes,2025-04-25,2025-06-24,60,16088.01,16088.01,0.0,2025-06-22,Paid,Check,58,2,Yes,Yes,0.01,No,0.0
AP-0013,VND-017,OfficePro Services,Services,South,Ana Torres,2025-07-23,2025-09-06,45,8655.05,8655.05,0.0,2025-08-25,Paid,ACH,33,12,Yes,No,0.0,No,0.0
AP-0014,VND-025,RapidShip Co.,Logistics,Central,Sofia Reyes,2025-01-20,2025-04-20,90,3125.49,0.0,3125.49,,Overdue,Check,,-406,No,Yes,0.005,No,0.0
AP-0015,VND-010,DataBridge IT,IT,South,Sofia Reyes,2025-03-29,2025-04-28,30,59893.07,0.0,59893.07,,Overdue,Wire,,-398,No,No,0.0,No,0.0
